frame,id,x1,y1,x2,y2,type
3,1,305.4,395.41,22.16,78.4,person
3,4,281.56,387.64,25.64,83.19,person
3,16,820.67,303.76,10.69,34.92,person
4,1,305.34,395.83,22.05,78.08,person
4,4,281.57,387.71,25.6,83.07,person
4,16,820.65,303.75,10.7,34.95,person
5,1,305.31,396,22,78.04,person
5,4,281.51,387.8,25.55,82.89,person
5,16,820.64,303.78,10.69,34.93,person
6,1,305.39,395.98,22.01,78.24,person
6,4,281.53,387.93,25.53,82.82,person
6,16,820.64,303.82,10.67,34.88,person
7,1,305.45,396.17,21.94,78.12,person
7,4,281.51,387.96,25.5,82.72,person
7,16,820.63,303.82,10.67,34.89,person
8,1,305.49,396.22,21.9,78.09,person
8,4,281.52,387.98,25.5,82.69,person
8,16,820.63,303.82,10.67,34.89,person
9,1,305.51,396.15,21.9,78.33,person
9,4,281.58,388.36,25.38,82.27,person
9,16,820.64,303.81,10.67,34.91,person
10,1,304.74,395.28,21.98,78.95,person
10,4,281.57,388.53,25.33,82.1,person
10,16,820.64,303.81,10.67,34.9,person
11,1,304.57,395.06,21.94,79.05,person
11,4,281.57,388.68,25.24,81.81,person
11,16,820.64,303.82,10.65,34.85,person
12,1,305.22,395.79,21.73,78.39,person
12,4,281.56,388.69,25.23,81.69,person
12,16,820.64,303.85,10.64,34.81,person
13,1,305.32,396.3,21.64,78,person
13,4,281.51,388.59,25.26,81.73,person
13,16,820.64,303.86,10.64,34.79,person
14,1,305.33,396.5,21.62,77.85,person
14,4,281.52,388.62,25.26,81.67,person
14,16,820.64,303.86,10.64,34.78,person
15,1,305.29,396.51,21.68,77.9,person
15,4,281.48,388.23,25.42,82.16,person
15,16,820.65,303.9,10.62,34.72,person
16,1,305.26,396.59,21.68,77.76,person
16,4,281.48,388.23,25.45,82.19,person
16,16,820.65,303.9,10.62,34.73,person
17,1,305.19,396.6,21.72,77.76,person
17,4,281.46,388.13,25.5,82.32,person
17,16,820.64,303.91,10.62,34.71,person
18,1,305.03,395.9,22.07,78.52,person
18,4,281.46,388.05,25.5,82.3,person
18,16,820.64,303.92,10.61,34.69,person
19,1,304.85,395.19,22.4,79.32,person
19,4,281.39,387.97,25.51,82.34,person
19,16,820.61,303.87,10.63,34.76,person
20,1,304.76,394.94,22.58,79.6,person
20,4,281.36,387.94,25.52,82.36,person
20,16,820.6,303.85,10.63,34.79,person
21,1,304.71,394.66,22.76,79.89,person
21,4,281.34,387.68,25.58,82.58,person
21,16,820.6,303.83,10.64,34.81,person
22,1,304.61,394.57,22.9,80.01,person
22,4,281.35,387.49,25.65,82.86,person
22,16,820.6,303.85,10.63,34.79,person
23,1,304.13,395.12,22.55,79.01,person
23,4,281.33,387.43,25.68,82.96,person
23,16,820.61,303.95,10.58,34.68,person
24,1,303.92,395.21,22.4,78.73,person
24,4,281.32,387.48,25.7,82.97,person
24,16,820.62,303.99,10.56,34.61,person
25,1,303.86,395.24,22.3,78.63,person
25,4,281.32,387.5,25.7,82.95,person
25,16,820.63,304.01,10.54,34.59,person
26,1,303.85,395.26,22.24,78.59,person
26,4,281.32,387.51,25.71,82.95,person
26,16,820.63,304.02,10.53,34.58,person
27,1,303.87,395.26,22.18,78.58,person
27,4,281.32,387.51,25.71,82.94,person
27,16,820.63,304.02,10.53,34.58,person
28,1,303.65,395.16,22.24,78.81,person
28,4,281.3,387.61,25.69,82.94,person
28,16,820.62,303.97,10.55,34.67,person
29,1,303.53,394.83,22.38,79.55,person
29,4,281.26,387.53,25.68,82.99,person
29,16,820.61,303.94,10.56,34.71,person
30,1,303.61,394.88,22.32,79.59,person
30,4,281.25,387.42,25.71,83.1,person
30,16,820.59,303.93,10.56,34.72,person
31,1,303.55,394.73,22.29,79.46,person
31,4,281.26,387.38,25.74,83.17,person
31,16,820.58,304.01,10.52,34.62,person
32,1,303.53,394.74,22.28,79.34,person
32,4,281.23,387.33,25.77,83.24,person
32,16,820.58,304.03,10.5,34.58,person
33,1,303.52,394.54,22.38,79.96,person
33,4,281.27,387.35,25.84,83.39,person
33,16,820.58,304.03,10.5,34.59,person
34,1,303.51,394.57,22.34,79.68,person
34,4,281.29,387.3,25.84,83.34,person
34,16,820.59,304,10.5,34.62,person
35,1,303.51,394.61,22.37,79.81,person
35,4,281.3,387.31,25.86,83.35,person
35,16,820.8,304.31,10.35,34.23,person
36,1,303.36,394.36,22.43,79.92,person
36,4,281.3,387.2,25.87,83.42,person
36,16,820.92,304.42,10.27,34.04,person
37,1,303.39,394.39,22.4,79.8,person
37,4,281.25,387.12,25.88,83.5,person
37,16,820.99,304.45,10.22,33.96,person
38,1,303.41,394.43,22.39,79.74,person
38,4,281.23,387.08,25.87,83.54,person
38,16,821.02,304.47,10.19,33.93,person
39,1,303.5,394.39,22.34,79.59,person
39,4,281.22,387.02,25.89,83.61,person
39,16,821.03,304.47,10.17,33.93,person
40,1,303.45,394.36,22.34,79.49,person
40,4,281.18,386.98,25.93,83.7,person
40,16,821.04,304.47,10.15,33.93,person
41,1,303.45,394.36,22.36,79.41,person
41,4,281.22,387.01,25.95,83.74,person
41,16,821.05,304.48,10.13,33.92,person
42,1,303.45,394.26,22.44,79.47,person
42,4,281.35,387.11,25.96,83.72,person
42,16,821.07,304.49,10.11,33.9,person
43,1,303.49,394.28,22.42,79.38,person
43,4,281.49,387.2,25.96,83.55,person
43,16,821.08,304.49,10.09,33.91,person
44,1,303.52,394.25,22.44,79.38,person
44,4,281.54,387.22,26.01,83.54,person
44,16,821.09,304.49,10.08,33.91,person
45,1,303.37,393.85,22.56,79.81,person
45,4,281.41,387.17,26.04,83.61,person
45,16,821.1,304.49,10.07,33.92,person
46,1,303.25,393.61,22.62,80.06,person
46,4,281.34,387.1,26.07,83.67,person
46,16,821.09,304.46,10.08,33.98,person
47,1,303.33,393.56,22.61,80.1,person
47,4,281.27,387.01,26.12,83.85,person
47,16,821.12,304.42,10.09,34.03,person
48,1,303.4,393.55,22.59,80.07,person
48,4,281.23,386.95,26.14,83.91,person
48,16,821.13,304.41,10.1,34.04,person
49,1,303.41,393.56,22.55,79.97,person
49,4,281.22,386.91,26.15,83.98,person
49,16,821.13,304.39,10.11,34.06,person
50,1,303.42,393.57,22.54,79.94,person
50,4,281.22,386.9,26.15,84,person
50,16,821.12,304.38,10.12,34.07,person
